date,product_category,units_sold,revenue
2023-05-23,Electronics,7,640.58
2023-05-24,Groceries,8,343.49
2023-05-24,Groceries,8,532.58
2023-05-25,Home Goods,6,1078.24
2023-05-26,Apparel,5,516.58
2023-05-27,Groceries,8,494.77
2023-05-27,Groceries,8,40.0
2023-05-28,Books,7,211.01
2023-05-29,Groceries,4,257.17
2023-05-30,Groceries,5,302.35
2023-05-30,Groceries,6,274.31
2023-05-31,Home Goods,9,2091.85
2023-06-01,Groceries,7,258.87
2023-06-01,Apparel,7,593.89
2023-06-02,Groceries,4,54.5
2023-06-03,Home Goods,5,186.42
2023-06-04,Home Goods,4,731.33
2023-06-04,Groceries,4,201.7
2023-06-05,Groceries,7,185.31
2023-06-06,Apparel,5,294.74
2023-06-07,Groceries,5,210.12
2023-06-07,Electronics,12,7275.98
2023-06-08,Electronics,5,1699.91
2023-06-09,Groceries,5,264.63
2023-06-10,Groceries,5,25.0
2023-06-10,Groceries,4,110.72
2023-06-11,Groceries,4,204.82
2023-06-12,Groceries,7,435.24
2023-06-12,Apparel,8,844.56
2023-06-13,Home Goods,1,143.44
2023-06-14,Home Goods,8,560.12
2023-06-15,Apparel,7,667.64
2023-06-15,Home Goods,5,205.44
2023-06-16,Groceries,8,649.64
2023-06-17,Home Goods,9,779.38
2023-06-18,Groceries,4,252.98
2023-06-18,Groceries,9,265.54
2023-06-19,Books,5,71.68
2023-06-20,Groceries,5,273.46
2023-06-20,Groceries,4,320.63
2023-06-21,Books,10,157.62
2023-06-22,Electronics,7,812.72
2023-06-23,Groceries,9,379.82
2023-06-23,Electronics,5,1292.96
2023-06-24,Electronics,7,704.69
2023-06-25,Books,3,21.5
2023-06-26,Groceries,5,121.5
2023-06-26,Books,6,177.96
2023-06-27,Electronics,8,4826.65
2023-06-28,Books,4,85.79
2023-06-29,Groceries,7,456.45
2023-06-29,Books,6,75.2
2023-06-30,Groceries,6,175.81
2023-07-01,Groceries,4,105.83
2023-07-01,Groceries,9,141.61
2023-07-02,Groceries,3,131.52
2023-07-03,Books,9,245.57
2023-07-04,Electronics,5,722.36
2023-07-04,Home Goods,6,707.29
2023-07-05,Groceries,7,467.51
2023-07-06,Books,7,124.28
2023-07-07,Home Goods,4,507.41
2023-07-07,Groceries,7,308.52
2023-07-08,Books,8,158.84
2023-07-09,Groceries,6,305.14
2023-07-09,Groceries,2,88.57
2023-07-10,Groceries,9,134.74
2023-07-11,Electronics,4,1065.32
2023-07-12,Books,5,135.53
2023-07-12,Home Goods,6,1128.23
2023-07-13,Home Goods,6,790.02
2023-07-14,Groceries,4,262.44
2023-07-15,Books,7,80.82
2023-07-15,Apparel,5,814.23
2023-07-16,Apparel,4,208.64
2023-07-17,Books,4,127.07
2023-07-18,Groceries,9,212.1
2023-07-18,Groceries,6,313.02
2023-07-19,Books,6,81.49
2023-07-20,Electronics,2,570.77
2023-07-20,Groceries,4,61.55
2023-07-21,Groceries,4,172.97
2023-07-22,Apparel,8,1220.52
2023-07-23,Apparel,9,828.5
2023-07-23,Apparel,8,930.99
2023-07-24,Apparel,6,851.19
2023-07-25,Apparel,4,609.6
2023-07-26,Books,5,124.71
2023-07-26,Home Goods,3,403.91
2023-07-27,Electronics,4,1731.66
2023-07-28,Apparel,7,664.44
2023-07-28,Electronics,6,30.0
2023-07-29,Apparel,6,578.06
2023-07-30,Electronics,5,1807.98
2023-07-31,Electronics,3,1028.12
2023-07-31,Books,6,65.83
2023-08-01,Electronics,8,3449.93
2023-08-02,Electronics,8,1724.93
2023-08-03,Groceries,8,393.06
2023-08-03,Books,3,58.1
2023-08-04,Groceries,3,15.0
2023-08-05,Groceries,8,716.11
2023-08-06,Apparel,2,255.97
2023-08-06,Home Goods,7,646.57
2023-08-07,Groceries,5,204.28
2023-08-08,Electronics,5,716.1
2023-08-08,Apparel,8,750.87
2023-08-09,Electronics,11,6199.82
2023-08-10,Electronics,2,587.05
2023-08-11,Groceries,2,67.78
2023-08-11,Groceries,5,162.39
2023-08-12,Electronics,9,1144.43
2023-08-13,Groceries,7,570.35
2023-08-14,Groceries,2,72.31
2023-08-14,Groceries,5,154.96
2023-08-15,Electronics,8,4885.0
2023-08-16,Home Goods,4,377.06
2023-08-16,Groceries,7,82.14
2023-08-17,Home Goods,10,732.6
2023-08-18,Home Goods,3,351.18
2023-08-19,Electronics,6,670.1
2023-08-19,Groceries,3,296.67
2023-08-20,Groceries,4,112.61
2023-08-21,Electronics,6,1652.54
2023-08-22,Groceries,7,308.99
2023-08-22,Home Goods,2,188.04
2023-08-23,Groceries,9,561.38
2023-08-24,Books,3,49.99
2023-08-25,Apparel,5,295.15
2023-08-25,Home Goods,2,143.74
2023-08-26,Groceries,6,442.0
2023-08-27,Groceries,7,142.63
2023-08-27,Electronics,7,2671.2
2023-08-28,Apparel,9,723.38
2023-08-29,Home Goods,10,1510.33
2023-08-30,Groceries,8,89.77
2023-08-30,Groceries,6,340.25
2023-08-31,Groceries,4,224.81
2023-09-01,Home Goods,7,667.44
2023-09-02,Home Goods,10,208.57
2023-09-02,Home Goods,8,810.29
2023-09-03,Home Goods,4,309.5
2023-09-04,Electronics,9,824.61
2023-09-04,Electronics,7,2986.52
2023-09-05,Apparel,4,97.59
2023-09-06,Electronics,8,1155.63
2023-09-07,Groceries,4,159.71
2023-09-07,Home Goods,4,295.04
2023-09-08,Electronics,3,494.2
2023-09-09,Apparel,7,335.84
2023-09-10,Apparel,4,127.53
2023-09-10,Electronics,7,1130.61
2023-09-11,Home Goods,10,1813.61
2023-09-12,Groceries,7,309.98
2023-09-13,Home Goods,5,985.9
2023-09-13,Books,6,209.94
2023-09-14,Apparel,6,639.11
2023-09-15,Electronics,11,3532.37
2023-09-15,Electronics,3,290.86
2023-09-16,Books,4,20.0
2023-09-17,Apparel,9,449.61
2023-09-18,Books,7,107.54
2023-09-18,Books,6,123.54
2023-09-19,Apparel,7,794.14
2023-09-20,Apparel,7,1016.55
2023-09-21,Groceries,3,233.73
2023-09-21,Groceries,6,575.36
2023-09-22,Groceries,9,507.64
2023-09-23,Electronics,7,3518.95
2023-09-23,Groceries,4,20.0
2023-09-24,Groceries,5,200.01
2023-09-25,Groceries,9,443.09
2023-09-26,Groceries,7,314.69
2023-09-26,Groceries,7,237.27
2023-09-27,Apparel,5,573.19
2023-09-28,Groceries,12,209.32
2023-09-29,Groceries,6,257.8
2023-09-29,Groceries,4,318.9
2023-09-30,Home Goods,2,240.36
2023-10-01,Groceries,4,283.49
2023-10-02,Books,3,83.54
2023-10-02,Home Goods,4,165.4
2023-10-03,Groceries,4,205.38
2023-10-04,Home Goods,7,1195.84
2023-10-04,Electronics,8,1910.41
2023-10-05,Electronics,5,1679.26
2023-10-06,Groceries,7,296.75
2023-10-07,Home Goods,7,965.78
2023-10-07,Groceries,6,444.58
2023-10-08,Groceries,7,352.59
2023-10-09,Apparel,7,1104.62
2023-10-10,Groceries,11,479.21
2023-10-10,Groceries,7,286.09
2023-10-11,Home Goods,2,177.08
2023-10-12,Electronics,5,1338.9
2023-10-12,Books,7,49.56
2023-10-13,Books,4,20.0
2023-10-14,Groceries,7,280.99
2023-10-15,Groceries,7,274.93
2023-10-15,Apparel,7,288.03
2023-10-16,Groceries,11,575.66
2023-10-17,Electronics,5,1469.18
2023-10-18,Books,4,149.53
2023-10-18,Books,4,20.0
2023-10-19,Home Goods,7,432.59
2023-10-20,Groceries,8,443.15
2023-10-21,Home Goods,8,873.26
2023-10-21,Home Goods,3,379.5
2023-10-22,Home Goods,6,1123.77
2023-10-23,Apparel,5,489.37
2023-10-23,Groceries,3,308.61
2023-10-24,Books,5,88.17
2023-10-25,Groceries,6,326.75
2023-10-26,Books,5,80.0
2023-10-26,Groceries,3,238.26
2023-10-27,Home Goods,6,856.8
2023-10-28,Books,8,145.76
2023-10-29,Electronics,4,1742.24
2023-10-29,Groceries,10,209.11
2023-10-30,Apparel,5,374.91
2023-10-31,Groceries,6,153.7
2023-10-31,Groceries,6,301.68
2023-11-01,Electronics,9,3723.23
2023-11-02,Home Goods,8,1517.31
2023-11-03,Electronics,5,862.46
2023-11-03,Groceries,4,175.64
2023-11-04,Apparel,7,723.99
2023-11-05,Groceries,6,358.39
2023-11-06,Books,7,163.42
2023-11-06,Groceries,7,349.31
2023-11-07,Home Goods,7,1044.6
2023-11-08,Books,3,75.71
2023-11-09,Home Goods,5,853.32
2023-11-09,Groceries,7,286.09
2023-11-10,Groceries,7,108.62
2023-11-11,Books,4,38.31
2023-11-11,Groceries,8,266.54
2023-11-12,Books,6,99.32
2023-11-13,Electronics,5,1891.87
2023-11-14,Books,9,253.28
2023-11-14,Groceries,3,202.02
2023-11-15,Books,2,29.83
2023-11-16,Electronics,4,1806.38
2023-11-17,Groceries,8,259.68
2023-11-17,Groceries,6,363.65
2023-11-18,Books,2,26.37
2023-11-19,Electronics,6,2883.34
2023-11-19,Books,9,122.31
2023-11-20,Electronics,4,1607.47
2023-11-21,Apparel,5,375.43
2023-11-22,Books,5,121.85
2023-11-22,Apparel,4,428.84
2023-11-23,Groceries,5,105.46
2023-11-24,Home Goods,7,870.43
2023-11-25,Apparel,9,767.25
2023-11-25,Groceries,3,97.32
2023-11-26,Groceries,6,339.37
2023-11-27,Groceries,9,284.71
2023-11-28,Books,10,120.24
2023-11-28,Electronics,5,25.0
2023-11-29,Home Goods,7,35.0
2023-11-30,Apparel,6,161.85
2023-11-30,Electronics,3,551.85
2023-12-01,Electronics,8,1301.66
2023-12-02,Books,12,162.46
2023-12-03,Electronics,8,2648.42
2023-12-03,Apparel,4,218.09
2023-12-04,Home Goods,9,1597.19
2023-12-05,Electronics,7,3267.72
2023-12-06,Groceries,6,311.1
2023-12-06,Electronics,3,426.11
2023-12-07,Apparel,4,325.45
2023-12-08,Electronics,8,537.1
2023-12-08,Books,7,148.66
2023-12-09,Groceries,6,399.56
2023-12-10,Books,5,75.97
2023-12-11,Groceries,7,54.06
2023-12-11,Home Goods,2,356.6
2023-12-12,Groceries,5,360.9
2023-12-13,Groceries,2,74.47
2023-12-14,Apparel,7,858.81
2023-12-14,Apparel,5,636.92
2023-12-15,Groceries,9,482.88
2023-12-16,Electronics,7,1539.31
2023-12-17,Groceries,7,520.54
2023-12-17,Groceries,9,55.13
2023-12-18,Groceries,7,181.48
2023-12-19,Groceries,3,196.3
2023-12-19,Electronics,6,2608.19
2023-12-20,Groceries,10,331.14
2023-12-21,Books,5,125.07
2023-12-22,Groceries,10,281.2
2023-12-22,Books,4,95.92
2023-12-23,Home Goods,6,802.93
2023-12-24,Groceries,7,567.11
2023-12-25,Electronics,2,614.53
2023-12-25,Groceries,6,459.82
2023-12-26,Groceries,8,376.3
2023-12-27,Home Goods,6,117.93
2023-12-27,Groceries,3,116.58
2023-12-28,Groceries,8,394.83
2023-12-29,Home Goods,5,1048.01
2023-12-30,Books,3,20.03
2023-12-30,Apparel,6,502.36
2023-12-31,Groceries,6,364.31
2024-01-01,Apparel,7,691.32
2024-01-02,Electronics,8,3918.86
2024-01-02,Groceries,8,73.11
2024-01-03,Home Goods,6,795.39
2024-01-04,Electronics,3,411.64
2024-01-05,Groceries,8,435.08
2024-01-05,Groceries,8,134.44
2024-01-06,Apparel,10,50.0
2024-01-07,Groceries,4,59.27
2024-01-07,Home Goods,5,698.4
2024-01-08,Electronics,8,40.0
2024-01-09,Home Goods,9,1114.31
2024-01-10,Home Goods,8,1583.92
2024-01-10,Groceries,4,202.93
2024-01-11,Electronics,7,2954.99
2024-01-12,Groceries,12,744.54
2024-01-13,Apparel,5,451.66
2024-01-13,Electronics,8,1692.31
2024-01-14,Groceries,9,519.16
2024-01-15,Books,7,114.36
2024-01-15,Home Goods,5,715.47
2024-01-16,Groceries,3,90.58
2024-01-17,Electronics,5,452.07
2024-01-18,Groceries,8,811.76
2024-01-18,Groceries,8,653.53
2024-01-19,Groceries,8,57.69
2024-01-20,Groceries,13,689.14
2024-01-21,Groceries,6,352.39
2024-01-21,Groceries,4,222.02
2024-01-22,Apparel,9,45.0
2024-01-23,Electronics,7,2555.19
2024-01-24,Home Goods,10,1500.76
2024-01-24,Home Goods,3,91.05
2024-01-25,Groceries,7,554.04
2024-01-26,Electronics,5,1773.21
2024-01-26,Groceries,6,443.24
2024-01-27,Home Goods,5,786.06
2024-01-28,Groceries,4,305.95
2024-01-29,Groceries,6,349.61
2024-01-29,Electronics,7,2946.31
2024-01-30,Home Goods,6,770.05
2024-01-31,Groceries,6,638.74
2024-02-01,Apparel,10,708.56
2024-02-01,Groceries,10,223.84
2024-02-02,Apparel,9,453.32
2024-02-03,Apparel,9,426.89
2024-02-03,Groceries,12,234.93
2024-02-04,Groceries,5,427.41
2024-02-05,Books,6,216.74
2024-02-06,Apparel,4,484.91
2024-02-06,Apparel,8,514.07
2024-02-07,Electronics,7,1537.1
2024-02-08,Home Goods,9,1316.65
2024-02-09,Groceries,9,381.1
2024-02-09,Groceries,4,347.02
2024-02-10,Groceries,3,177.08
2024-02-11,Groceries,7,162.01
2024-02-12,Groceries,7,399.0
2024-02-12,Apparel,8,1079.11
2024-02-13,Apparel,6,812.0
2024-02-14,Books,4,125.04
2024-02-14,Home Goods,6,206.44
2024-02-15,Electronics,5,503.7
2024-02-16,Electronics,8,2576.3
2024-02-17,Groceries,3,182.75
2024-02-17,Apparel,7,571.09
2024-02-18,Electronics,4,1198.84
2024-02-19,Home Goods,5,840.15
2024-02-20,Apparel,7,35.0
2024-02-20,Home Goods,7,876.88
2024-02-21,Electronics,5,36.47
2024-02-22,Home Goods,6,630.47
2024-02-22,Home Goods,9,295.78
2024-02-23,Groceries,5,238.41
2024-02-24,Electronics,1,136.85
2024-02-25,Home Goods,4,477.74
2024-02-25,Electronics,9,1618.8
2024-02-26,Apparel,5,387.42
2024-02-27,Groceries,8,653.07
2024-02-28,Home Goods,8,729.96
2024-02-28,Electronics,4,20.0
2024-02-29,Home Goods,4,393.18
2024-03-01,Books,5,177.45
2024-03-02,Groceries,5,237.0
2024-03-02,Home Goods,9,607.77
2024-03-03,Home Goods,10,1712.27
2024-03-04,Groceries,8,527.72
2024-03-04,Groceries,8,723.87
2024-03-05,Groceries,4,159.07
2024-03-06,Groceries,4,259.88
2024-03-07,Groceries,10,470.69
2024-03-07,Books,6,88.93
2024-03-08,Books,7,133.32
2024-03-09,Electronics,3,1004.91
2024-03-10,Groceries,7,594.97
2024-03-10,Apparel,3,190.14
2024-03-11,Home Goods,5,686.09
2024-03-12,Groceries,2,59.16
2024-03-12,Books,8,40.52
2024-03-13,Books,7,56.59
2024-03-14,Home Goods,4,234.26
2024-03-15,Home Goods,7,682.79
2024-03-15,Groceries,6,523.17
2024-03-16,Groceries,5,521.63
2024-03-17,Electronics,7,98.99
2024-03-18,Groceries,7,383.95
2024-03-18,Home Goods,6,214.91
2024-03-19,Home Goods,11,1782.55
2024-03-20,Groceries,5,239.3
2024-03-21,Apparel,4,235.48
2024-03-21,Home Goods,2,187.53
2024-03-22,Electronics,9,45.0
2024-03-23,Groceries,13,601.75
2024-03-23,Electronics,3,196.09
2024-03-24,Books,3,116.58
2024-03-25,Apparel,7,265.11
2024-03-26,Electronics,3,696.42
2024-03-26,Books,5,82.77
2024-03-27,Apparel,4,217.64
2024-03-28,Groceries,9,389.37
2024-03-29,Electronics,10,3401.94
2024-03-29,Groceries,3,58.77
2024-03-30,Groceries,6,164.09
2024-03-31,Apparel,8,179.0
2024-03-31,Groceries,8,298.41
2024-04-01,Groceries,6,298.13
2024-04-02,Groceries,7,527.03
2024-04-03,Home Goods,7,1102.09
2024-04-03,Electronics,6,1565.97
2024-04-04,Apparel,5,93.0
2024-04-05,Groceries,5,134.43
2024-04-06,Groceries,8,596.5
2024-04-06,Groceries,5,316.29
2024-04-07,Home Goods,8,2173.86
2024-04-08,Groceries,3,103.71
2024-04-09,Electronics,4,1134.55
2024-04-09,Books,5,54.66
2024-04-10,Groceries,7,261.13
2024-04-11,Groceries,6,255.8
2024-04-11,Electronics,6,2155.77
2024-04-12,Groceries,4,261.05
2024-04-13,Electronics,6,1459.77
2024-04-14,Books,2,10.0
2024-04-14,Groceries,3,58.39
2024-04-15,Apparel,4,392.09
2024-04-16,Groceries,6,259.38
2024-04-17,Groceries,7,457.55
2024-04-17,Home Goods,4,637.12
2024-04-18,Groceries,9,588.34
2024-04-19,Electronics,9,2881.6
2024-04-19,Books,4,98.12
2024-04-20,Electronics,2,669.68
2024-04-21,Groceries,5,167.74
2024-04-22,Electronics,8,2341.25
2024-04-22,Groceries,4,43.9
2024-04-23,Groceries,9,408.11
2024-04-24,Electronics,8,1189.69
2024-04-25,Groceries,6,343.37
2024-04-25,Groceries,4,311.93
2024-04-26,Groceries,5,357.35
2024-04-27,Home Goods,6,854.45
2024-04-28,Books,5,116.27
2024-04-28,Groceries,6,280.03
2024-04-29,Electronics,5,1155.9
2024-04-30,Groceries,5,235.99
2024-04-30,Electronics,6,1110.43
2024-05-01,Electronics,3,806.31
2024-05-02,Apparel,10,850.33
2024-05-03,Apparel,7,554.4
2024-05-03,Groceries,8,203.57
2024-05-04,Groceries,3,69.28
2024-05-05,Groceries,5,182.9
2024-05-06,Books,9,313.25
2024-05-06,Books,7,132.84
2024-05-07,Apparel,12,1474.7
2024-05-08,Apparel,6,512.06
2024-05-08,Groceries,6,335.66
2024-05-09,Apparel,5,880.29
2024-05-10,Books,6,125.97
2024-05-11,Books,7,72.66
2024-05-11,Apparel,7,563.55
2024-05-12,Groceries,8,285.71
2024-05-13,Electronics,6,1271.78
2024-05-14,Books,3,36.95
2024-05-14,Apparel,4,134.78
2024-05-15,Home Goods,6,1293.87
2024-05-16,Home Goods,8,971.25
2024-05-17,Groceries,3,15.0
2024-05-17,Groceries,9,640.02
2024-05-18,Groceries,3,157.59
2024-05-19,Electronics,8,790.03
2024-05-19,Groceries,7,647.84
2024-05-20,Home Goods,9,553.93
2024-05-21,Books,6,202.98
2024-05-22,Groceries,4,310.28
2024-05-22,Apparel,3,129.48
2024-05-23,Home Goods,10,1538.38
2024-05-24,Electronics,5,874.36
2024-05-25,Groceries,4,194.16
2024-05-25,Groceries,9,733.47
2024-05-26,Home Goods,8,901.34
2024-05-27,Groceries,6,531.63
2024-05-27,Groceries,7,254.48
2024-05-28,Electronics,7,1119.38
2024-05-29,Groceries,5,243.14
2024-05-30,Groceries,4,20.0
2024-05-30,Electronics,4,624.67
2024-05-31,Apparel,6,837.32
2024-06-01,Home Goods,3,378.29
2024-06-02,Groceries,7,338.14
2024-06-02,Electronics,8,1330.26
2024-06-03,Books,4,160.71
2024-06-04,Groceries,6,202.96
2024-06-05,Electronics,4,1047.67
2024-06-05,Groceries,8,256.5
2024-06-06,Apparel,7,835.85
2024-06-07,Groceries,8,331.8
2024-06-07,Electronics,8,40.0
2024-06-08,Electronics,4,269.86
2024-06-09,Home Goods,5,528.91
2024-06-10,Groceries,4,150.65
2024-06-10,Apparel,6,351.49
2024-06-11,Groceries,5,564.34
2024-06-12,Electronics,8,2179.07
2024-06-13,Groceries,9,569.46
2024-06-13,Groceries,9,167.6
2024-06-14,Groceries,13,124.07
2024-06-15,Home Goods,6,279.5
2024-06-15,Groceries,4,138.02
2024-06-16,Groceries,7,275.41
2024-06-17,Books,6,148.54
2024-06-18,Apparel,6,400.32
2024-06-18,Electronics,8,2300.13
2024-06-19,Home Goods,2,229.13
2024-06-20,Groceries,4,245.77
2024-06-21,Apparel,6,481.2
2024-06-21,Groceries,4,174.38
2024-06-22,Electronics,3,1001.55
2024-06-23,Home Goods,7,1934.82
2024-06-24,Electronics,3,753.83
2024-06-24,Groceries,5,296.5
2024-06-25,Electronics,8,3026.58
2024-06-26,Groceries,6,140.24
2024-06-26,Groceries,4,370.2
2024-06-27,Books,6,158.39
2024-06-28,Books,5,51.93
2024-06-29,Home Goods,2,71.62
2024-06-29,Electronics,5,1830.56
2024-06-30,Apparel,7,35.0
2024-07-01,Electronics,9,1006.08
2024-07-02,Groceries,8,411.09
2024-07-02,Books,7,59.21
2024-07-03,Books,3,42.73
2024-07-04,Groceries,6,444.92
2024-07-04,Electronics,7,847.31
2024-07-05,Electronics,11,2932.35
2024-07-06,Apparel,10,1223.3
2024-07-07,Apparel,7,828.57
2024-07-07,Books,5,25.0
2024-07-08,Groceries,8,578.78
2024-07-09,Home Goods,7,492.97
2024-07-10,Groceries,4,296.63
2024-07-10,Apparel,8,401.05
2024-07-11,Groceries,10,318.04
2024-07-12,Apparel,7,1074.77
2024-07-13,Groceries,7,35.0
2024-07-13,Books,6,82.19
2024-07-14,Apparel,3,145.97
2024-07-15,Apparel,5,249.63
2024-07-15,Apparel,4,425.39
2024-07-16,Home Goods,12,1465.31
2024-07-17,Groceries,5,133.18
